category, class, id, avg_dist_to_can, avg_dist_to_fib, result
train, fibro, 401, 0.5706, 0.4294, True
train, fibro, 402, 0.6083, 0.3917, True
train, fibro, 403, 0.5863, 0.4137, True
train, fibro, 406, 0.6045, 0.3955, True
train, fibro, 407, 0.5750, 0.4250, True
train, fibro, 418, 0.4817, 0.5183, False
train, fibro, 419, 0.6870, 0.3130, True
train, fibro, 422, 0.5751, 0.4249, True
train, fibro, 423, 0.5421, 0.4579, True
train, fibro, 424, 0.6575, 0.3425, True
train, fibro, 434, 0.6338, 0.3662, True
train, fibro, 435, 0.6655, 0.3345, True
train, fibro, 440, 0.8145, 0.1855, True
train, fibro, 443, 0.5738, 0.4262, True
train, fibro, 459, 0.6521, 0.3479, True
train, fibro, 460, 0.6676, 0.3324, True
train, fibro, 464, 0.6145, 0.3855, True
train, fibro, 472, 0.6610, 0.3390, True
train, fibro, 473, 0.7607, 0.2393, True
train, fibro, 478, 0.5431, 0.4569, True
train, fibro, 486, 0.5586, 0.4414, True
train, fibro, 490, 0.5463, 0.4537, True
train, fibro, 491, 0.5461, 0.4539, True
train, fibro, 494, 0.4299, 0.5701, False
train, fibro, 496, 0.6503, 0.3497, True
train, fibro, 498, 0.6163, 0.3837, True
train, fibro, 499, 0.9034, 0.0966, True
train, fibro, 500, 0.7590, 0.2410, True
train, fibro, 501, 0.8639, 0.1361, True
train, fibro, 506, 0.4612, 0.5388, False
train, fibro, 507, 0.4762, 0.5238, False
train, fibro, 509, 0.6470, 0.3530, True
train, fibro, 510, 0.5877, 0.4123, True
correct: 29 / 33
